,4.99,5.0
0,0.0,0.0
1,0.0,33.0
2,0.0,50.0
3,0.0,50.0
4,0.0,50.0
5,0.0,50.0
6,0.0,25.0
7,0.0,25.0
8,0.0,82.0
9,0.0,103.0
10,0.0,104.0
11,0.0,95.0
12,0.0,98.0
13,0.0,104.0
14,0.0,101.0
15,0.0,101.0
16,0.0,94.0
17,0.0,90.0
18,0.0,50.0
19,0.0,50.0
20,0.0,50.0
21,0.0,0.0
22,0.0,25.0
23,0.0,0.0
